accession	header
P35900	"sp|P35900|K1C20_HUMAN Keratin, type I cytoskeletal 20 OS=Homo sapiens GN=KRT20 PE=1 SV=1"
P35908	"sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"
P38507	sp|P38507|SPA_STAAU Immunoglobulin G-binding protein A OS=Staphylococcus aureus GN=spa PE=1 SV=1
P41361	sp|P41361|ANT3_BOVIN Antithrombin-III OS=Bos taurus GN=SERPINC1 PE=1 SV=2
P42212	sp|P42212|GFP_AEQVI Green fluorescent protein OS=Aequorea victoria GN=GFP PE=1 SV=1
P48668	"sp|P48668|K2C6C_HUMAN Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3"
P50446	"sp|P50446|K2C6A_MOUSE Keratin, type II cytoskeletal 6A OS=Mus musculus GN=Krt6a PE=1 SV=3"
P50448	sp|P50448|F12AI_BOVIN Factor XIIa inhibitor OS=Bos taurus PE=1 SV=1
P56652	sp|P56652|ITIH3_BOVIN Inter-alpha-trypsin inhibitor heavy chain H3 OS=Bos taurus GN=ITIH3 PE=1 SV=2
P60413	sp|P60413|KR10C_HUMAN Keratin-associated protein 10-12 OS=Homo sapiens GN=KRTAP10-12 PE=2 SV=1
P61626	sp|P61626|LYSC_HUMAN Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1
P61823	sp|P61823|RNAS1_BOVIN Ribonuclease pancreatic OS=Bos taurus GN=RNASE1 PE=1 SV=1
P62894	sp|P62894|CYC_BOVIN Cytochrome c OS=Bos taurus GN=CYCS PE=1 SV=2
P67983	sp|P67983|MT1A_BOVIN Metallothionein-1A OS=Bos taurus GN=MT1A PE=1 SV=1
P68082	sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2
P78385	"sp|P78385|KRT83_HUMAN Keratin, type II cuticular Hb3 OS=Homo sapiens GN=KRT83 PE=1 SV=2"
P78386	"sp|P78386|KRT85_HUMAN Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1"
P81054	sp|P81054|PLMP_GRIFR Peptidyl-Lys metalloendopeptidase OS=Grifola frondosa GN=MEP PE=1 SV=2
P81644	sp|P81644|APOA2_BOVIN Apolipoprotein A-II OS=Bos taurus GN=APOA2 PE=1 SV=2
P84751	sp|P84751|HVM63_MOUSE Ig heavy chain Mem5 (Fragment) OS=Mus musculus PE=1 SV=1
Q01546	"sp|Q01546|K22O_HUMAN Keratin, type II cytoskeletal 2 oral OS=Homo sapiens GN=KRT76 PE=1 SV=2"
Q02958	sp|Q02958|KRA61_SHEEP Keratin-associated protein 6-1 OS=Ovis aries GN=KRTAP6-1 PE=1 SV=2
Q03247	sp|Q03247|APOE_BOVIN Apolipoprotein E OS=Bos taurus GN=APOE PE=1 SV=1
Q04695	"sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2"
Q05443	sp|Q05443|LUM_BOVIN Lumican OS=Bos taurus GN=LUM PE=1 SV=1
Q05B55	tr|Q05B55|Q05B55_BOVIN IGK protein OS=Bos taurus GN=IGK PE=2 SV=1
Q0VBK2	"sp|Q0VBK2|K2C80_MOUSE Keratin, type II cytoskeletal 80 OS=Mus musculus GN=Krt80 PE=1 SV=1"
Q0VCM5	sp|Q0VCM5|ITIH1_BOVIN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Bos taurus GN=ITIH1 PE=1 SV=1
Q10735	sp|Q10735|PEPB_PIG Pepsin B (Fragment) OS=Sus scrofa GN=PGB PE=1 SV=1
Q14525	"sp|Q14525|KT33B_HUMAN Keratin, type I cuticular Ha3-II OS=Homo sapiens GN=KRT33B PE=1 SV=3"
Q14532	"sp|Q14532|K1H2_HUMAN Keratin, type I cuticular Ha2 OS=Homo sapiens GN=KRT32 PE=2 SV=3"
Q14533	"sp|Q14533|KRT81_HUMAN Keratin, type II cuticular Hb1 OS=Homo sapiens GN=KRT81 PE=1 SV=3"
Q148H6	"sp|Q148H6|K1C28_BOVIN Keratin, type I cytoskeletal 28 OS=Bos taurus GN=KRT28 PE=2 SV=1"
Q14CN4	"sp|Q14CN4|K2C72_HUMAN Keratin, type II cytoskeletal 72 OS=Homo sapiens GN=KRT72 PE=1 SV=2"
Q15323	"sp|Q15323|K1H1_HUMAN Keratin, type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=1 SV=3"
Q1A7A4	tr|Q1A7A4|Q1A7A4_BOVIN Complement component C5a (Fragment) OS=Bos taurus PE=2 SV=1
Q1RMN8	"tr|Q1RMN8|Q1RMN8_BOVIN Immunoglobulin light chain, lambda gene cluster OS=Bos taurus GN=IGL@ PE=2 SV=1"
Q28065	sp|Q28065|C4BPA_BOVIN C4b-binding protein alpha chain OS=Bos taurus GN=C4BPA PE=2 SV=1
Q28085	sp|Q28085|CFAH_BOVIN Complement factor H OS=Bos taurus GN=CFH PE=1 SV=3
Q28107	sp|Q28107|FA5_BOVIN Coagulation factor V OS=Bos taurus GN=F5 PE=1 SV=1
Q28194	tr|Q28194|Q28194_BOVIN Thrombospondin-1 (Fragment) OS=Bos taurus PE=2 SV=1
Q29443	sp|Q29443|TRFE_BOVIN Serotransferrin OS=Bos taurus GN=TF PE=2 SV=1
Q29463	sp|Q29463|TRY2_BOVIN Anionic trypsin OS=Bos taurus PE=2 SV=1
Q29RQ1	sp|Q29RQ1|CO7_BOVIN Complement component C7 OS=Bos taurus GN=C7 PE=2 SV=1
Q2HJF0	tr|Q2HJF0|Q2HJF0_BOVIN Serotransferrin-like OS=Bos taurus GN=LOC525947 PE=2 SV=1
Q2KIF2	tr|Q2KIF2|Q2KIF2_BOVIN Leucine-rich alpha-2-glycoprotein 1 OS=Bos taurus GN=LRG1 PE=1 SV=1
Q2KIG3	sp|Q2KIG3|CBPB2_BOVIN Carboxypeptidase B2 OS=Bos taurus GN=CPB2 PE=1 SV=1
Q2KIH2	tr|Q2KIH2|Q2KIH2_BOVIN ApoN protein OS=Bos taurus GN=ApoN PE=2 SV=1
Q2KIS7	sp|Q2KIS7|TETN_BOVIN Tetranectin OS=Bos taurus GN=CLEC3B PE=2 SV=1
Q2KIT0	sp|Q2KIT0|HP20_BOVIN Protein HP-20 homolog OS=Bos taurus PE=2 SV=1
Q2KIU3	sp|Q2KIU3|HP252_BOVIN Protein HP-25 homolog 2 OS=Bos taurus PE=2 SV=1
Q2KJ83	sp|Q2KJ83|CBPN_BOVIN Carboxypeptidase N catalytic chain OS=Bos taurus GN=CPN1 PE=2 SV=1
Q2KJC7	tr|Q2KJC7|Q2KJC7_BOVIN Periostin variant 7 OS=Bos taurus GN=POSTN PE=1 SV=1
Q2KJF1	sp|Q2KJF1|A1BG_BOVIN Alpha-1B-glycoprotein OS=Bos taurus GN=A1BG PE=1 SV=1
Q2M2I5	"sp|Q2M2I5|K1C24_HUMAN Keratin, type I cytoskeletal 24 OS=Homo sapiens GN=KRT24 PE=1 SV=1"
Q2TBQ1	"tr|Q2TBQ1|Q2TBQ1_BOVIN Coagulation factor XIII, B polypeptide OS=Bos taurus GN=F13B PE=2 SV=1"
Q2UVX4	sp|Q2UVX4|CO3_BOVIN Complement C3 OS=Bos taurus GN=C3 PE=1 SV=2
Q2YDI2	sp|Q2YDI2|ORC4_BOVIN Origin recognition complex subunit 4 OS=Bos taurus GN=ORC4 PE=2 SV=1
Q32PI4	tr|Q32PI4|Q32PI4_BOVIN Complement factor I OS=Bos taurus GN=CFI PE=2 SV=1
Q32PJ2	sp|Q32PJ2|APOA4_BOVIN Apolipoprotein A-IV OS=Bos taurus GN=APOA4 PE=2 SV=1
Q3KNV1	tr|Q3KNV1|Q3KNV1_HUMAN KRT7 protein OS=Homo sapiens GN=KRT7 PE=2 SV=1
Q3KUS7	tr|Q3KUS7|Q3KUS7_BOVIN Complement factor B (Fragment) OS=Bos taurus GN=BF PE=4 SV=1
Q3LI72	sp|Q3LI72|KR195_HUMAN Keratin-associated protein 19-5 OS=Homo sapiens GN=KRTAP19-5 PE=1 SV=1
Q3MHH8	tr|Q3MHH8|Q3MHH8_BOVIN Alpha-amylase OS=Bos taurus GN=AMY2A PE=2 SV=1
Q3MHN2	sp|Q3MHN2|CO9_BOVIN Complement component C9 OS=Bos taurus GN=C9 PE=2 SV=1
Q3MHN5	sp|Q3MHN5|VTDB_BOVIN Vitamin D-binding protein OS=Bos taurus GN=GC PE=2 SV=1
Q3SX14	sp|Q3SX14|GELS_BOVIN Gelsolin OS=Bos taurus GN=GSN PE=2 SV=1
Q3SY84	"sp|Q3SY84|K2C71_HUMAN Keratin, type II cytoskeletal 71 OS=Homo sapiens GN=KRT71 PE=1 SV=3"
Q3SZ57	sp|Q3SZ57|FETA_BOVIN Alpha-fetoprotein OS=Bos taurus GN=AFP PE=2 SV=1
Q3SZH5	tr|Q3SZH5|Q3SZH5_BOVIN Angiotensinogen OS=Bos taurus GN=AGT PE=1 SV=1
Q3SZR3	sp|Q3SZR3|A1AG_BOVIN Alpha-1-acid glycoprotein OS=Bos taurus GN=ORM1 PE=2 SV=1
Q3SZV7	sp|Q3SZV7|HEMO_BOVIN Hemopexin OS=Bos taurus GN=HPX PE=2 SV=1
Q3T052	sp|Q3T052|ITIH4_BOVIN Inter-alpha-trypsin inhibitor heavy chain H4 OS=Bos taurus GN=ITIH4 PE=1 SV=1
Q3TTY5	"sp|Q3TTY5|K22E_MOUSE Keratin, type II cytoskeletal 2 epidermal OS=Mus musculus GN=Krt2 PE=1 SV=1"
Q3Y5Z3	sp|Q3Y5Z3|ADIPO_BOVIN Adiponectin OS=Bos taurus GN=ADIPOQ PE=1 SV=1
Q3ZAW8	tr|Q3ZAW8|Q3ZAW8_MOUSE Keratin 16 OS=Mus musculus GN=Krt16 PE=2 SV=1
Q3ZBD7	sp|Q3ZBD7|G6PI_BOVIN Glucose-6-phosphate isomerase OS=Bos taurus GN=GPI PE=2 SV=4
Q3ZBS7	tr|Q3ZBS7|Q3ZBS7_BOVIN Uncharacterized protein OS=Bos taurus GN=VTN PE=1 SV=1
Q497I4	"sp|Q497I4|KRT35_MOUSE Keratin, type I cuticular Ha5 OS=Mus musculus GN=Krt35 PE=1 SV=1"
Q58D62	sp|Q58D62|FETUB_BOVIN Fetuin-B OS=Bos taurus GN=FETUB PE=1 SV=1
Q5D862	sp|Q5D862|FILA2_HUMAN Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1
Q5KR48	sp|Q5KR48|TPM2_BOVIN Tropomyosin beta chain OS=Bos taurus GN=TPM2 PE=2 SV=1
Q5XKE5	"sp|Q5XKE5|K2C79_HUMAN Keratin, type II cytoskeletal 79 OS=Homo sapiens GN=KRT79 PE=1 SV=2"
Q5XQN5	"sp|Q5XQN5|K2C5_BOVIN Keratin, type II cytoskeletal 5 OS=Bos taurus GN=KRT5 PE=1 SV=1"
Q61726	tr|Q61726|Q61726_MOUSE Keratin type II (Fragment) OS=Mus musculus GN=Krt83 PE=2 SV=1
Q61765	"sp|Q61765|K1H1_MOUSE Keratin, type I cuticular Ha1 OS=Mus musculus GN=Krt31 PE=1 SV=2"
Q61782	"tr|Q61782|Q61782_MOUSE Type I epidermal keratin mRNA, 3'end (Fragment) OS=Mus musculus PE=2 SV=1"
Q61897	"sp|Q61897|KT33B_MOUSE Keratin, type I cuticular Ha3-II OS=Mus musculus GN=Krt33b PE=1 SV=2"
Q6A162	"sp|Q6A162|K1C40_HUMAN Keratin, type I cytoskeletal 40 OS=Homo sapiens GN=KRT40 PE=1 SV=2"
Q6A163	"sp|Q6A163|K1C39_HUMAN Keratin, type I cytoskeletal 39 OS=Homo sapiens GN=KRT39 PE=1 SV=2"
Q6E0U4	sp|Q6E0U4|DMKN_HUMAN Dermokine OS=Homo sapiens GN=DMKN PE=1 SV=3
Q6IFX2	"sp|Q6IFX2|K1C42_MOUSE Keratin, type I cytoskeletal 42 OS=Mus musculus GN=Krt42 PE=1 SV=1"
Q6IFX4	"sp|Q6IFX4|K1C39_MOUSE Keratin, type I cytoskeletal 39 OS=Mus musculus GN=Krt39 PE=2 SV=2"
Q6IFZ6	"sp|Q6IFZ6|K2C1B_MOUSE Keratin, type II cytoskeletal 1b OS=Mus musculus GN=Krt77 PE=1 SV=1"
Q6IME9	"sp|Q6IME9|K2C72_MOUSE Keratin, type II cytoskeletal 72 OS=Mus musculus GN=Krt72 PE=3 SV=1"
Q6KB66	"sp|Q6KB66|K2C80_HUMAN Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2"
Q6NXH9	"sp|Q6NXH9|K2C73_MOUSE Keratin, type II cytoskeletal 73 OS=Mus musculus GN=Krt73 PE=1 SV=1"
Q6T181	tr|Q6T181|Q6T181_BOVIN Sex hormone-binding globulin (Fragment) OS=Bos taurus GN=SHBG PE=4 SV=1
Q7M135	sp|Q7M135|LYSC_LYSEN Lysyl endopeptidase OS=Lysobacter enzymogenes PE=1 SV=1
Q7RTS7	"sp|Q7RTS7|K2C74_HUMAN Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=1 SV=2"
Q7SIH1	sp|Q7SIH1|A2MG_BOVIN Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2
Q7Z3Y7	"sp|Q7Z3Y7|K1C28_HUMAN Keratin, type I cytoskeletal 28 OS=Homo sapiens GN=KRT28 PE=1 SV=2"
Q7Z3Y8	"sp|Q7Z3Y8|K1C27_HUMAN Keratin, type I cytoskeletal 27 OS=Homo sapiens GN=KRT27 PE=1 SV=2"
Q7Z3Y9	"sp|Q7Z3Y9|K1C26_HUMAN Keratin, type I cytoskeletal 26 OS=Homo sapiens GN=KRT26 PE=1 SV=2"
Q7Z3Z0	"sp|Q7Z3Z0|K1C25_HUMAN Keratin, type I cytoskeletal 25 OS=Homo sapiens GN=KRT25 PE=1 SV=1"
Q7Z794	"sp|Q7Z794|K2C1B_HUMAN Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3"
Q862S4	tr|Q862S4|Q862S4_BOVIN Similar to pro alpha 1(I) collagen (Fragment) OS=Bos taurus PE=2 SV=1
Q86Y46	"sp|Q86Y46|K2C73_HUMAN Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 PE=1 SV=1"
Q86YZ3	sp|Q86YZ3|HORN_HUMAN Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2
Q8BGZ7	"sp|Q8BGZ7|K2C75_MOUSE Keratin, type II cytoskeletal 75 OS=Mus musculus GN=Krt75 PE=1 SV=1"
Q8N1A0	sp|Q8N1A0|KT222_HUMAN Keratin-like protein KRT222 OS=Homo sapiens GN=KRT222 PE=2 SV=1
Q8N1N4	"sp|Q8N1N4|K2C78_HUMAN Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2"
Q8VED5	"sp|Q8VED5|K2C79_MOUSE Keratin, type II cytoskeletal 79 OS=Mus musculus GN=Krt79 PE=1 SV=2"
Q922U2	"sp|Q922U2|K2C5_MOUSE Keratin, type II cytoskeletal 5 OS=Mus musculus GN=Krt5 PE=1 SV=1"
Q925H3	sp|Q925H3|KRA65_MOUSE Keratin-associated protein 6-5 OS=Mus musculus GN=Krtap6-5 PE=2 SV=1
Q92764	"sp|Q92764|KRT35_HUMAN Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5"
Q95121	sp|Q95121|PEDF_BOVIN Pigment epithelium-derived factor OS=Bos taurus GN=SERPINF1 PE=1 SV=1
Q95M17	sp|Q95M17|CHIA_BOVIN Acidic mammalian chitinase OS=Bos taurus GN=CHIA PE=1 SV=1
Q99456	"sp|Q99456|K1C12_HUMAN Keratin, type I cytoskeletal 12 OS=Homo sapiens GN=KRT12 PE=1 SV=1"
Q99PS0	"sp|Q99PS0|K1C23_MOUSE Keratin, type I cytoskeletal 23 OS=Mus musculus GN=Krt23 PE=1 SV=1"
Q9BYQ5	sp|Q9BYQ5|KRA46_HUMAN Keratin-associated protein 4-6 OS=Homo sapiens GN=KRTAP4-6 PE=2 SV=4
Q9BYQ7	sp|Q9BYQ7|KRA41_HUMAN Keratin-associated protein 4-1 OS=Homo sapiens GN=KRTAP4-1 PE=2 SV=3
Q9BYQ8	sp|Q9BYQ8|KRA49_HUMAN Keratin-associated protein 4-9 OS=Homo sapiens GN=KRTAP4-9 PE=2 SV=2
Q9BYR4	sp|Q9BYR4|KRA43_HUMAN Keratin-associated protein 4-3 OS=Homo sapiens GN=KRTAP4-3 PE=2 SV=2
Q9BYR8	sp|Q9BYR8|KRA31_HUMAN Keratin-associated protein 3-1 OS=Homo sapiens GN=KRTAP3-1 PE=1 SV=1
Q9BYR9	sp|Q9BYR9|KRA24_HUMAN Keratin-associated protein 2-4 OS=Homo sapiens GN=KRTAP2-4 PE=2 SV=1
Q9C075	"sp|Q9C075|K1C23_HUMAN Keratin, type I cytoskeletal 23 OS=Homo sapiens GN=KRT23 PE=1 SV=2"
Q9D312	"sp|Q9D312|K1C20_MOUSE Keratin, type I cytoskeletal 20 OS=Mus musculus GN=Krt20 PE=1 SV=1"
Q9D646	"sp|Q9D646|KRT34_MOUSE Keratin, type I cuticular Ha4 OS=Mus musculus GN=Krt34 PE=2 SV=1"
Q9DCV7	"sp|Q9DCV7|K2C7_MOUSE Keratin, type II cytoskeletal 7 OS=Mus musculus GN=Krt7 PE=1 SV=1"
Q9N2I2	sp|Q9N2I2|IPSP_BOVIN Plasma serine protease inhibitor OS=Bos taurus GN=SERPINA5 PE=1 SV=1
Q9NSB2	"sp|Q9NSB2|KRT84_HUMAN Keratin, type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2"
Q9NSB4	"sp|Q9NSB4|KRT82_HUMAN Keratin, type II cuticular Hb2 OS=Homo sapiens GN=KRT82 PE=3 SV=3"
Q9QWL7	"sp|Q9QWL7|K1C17_MOUSE Keratin, type I cytoskeletal 17 OS=Mus musculus GN=Krt17 PE=1 SV=3"
Q9R0H5	"sp|Q9R0H5|K2C71_MOUSE Keratin, type II cytoskeletal 71 OS=Mus musculus GN=Krt71 PE=1 SV=1"
Q9R4J4	sp|Q9R4J4|ASPN_PSEFR Peptidyl-Asp metalloendopeptidase (Fragments) OS=Pseudomonas fragi PE=1 SV=2
Q9TRI1	tr|Q9TRI1|Q9TRI1_BOVIN Inter-alpha-trypsin inhibitor HC2 component homolog (Fragment) OS=Bos taurus PE=1 SV=1
Q9TT36	sp|Q9TT36|THBG_BOVIN Thyroxine-binding globulin OS=Bos taurus GN=SERPINA7 PE=2 SV=1
Q9TTE1	sp|Q9TTE1|SPA31_BOVIN Serpin A3-1 OS=Bos taurus GN=SERPINA3-1 PE=1 SV=3
Q9U6Y5	sp|Q9U6Y5|GFPL1_ZOASP GFP-like fluorescent chromoprotein FP506 OS=Zoanthus sp. PE=1 SV=1
Q9Z2K1	"sp|Q9Z2K1|K1C16_MOUSE Keratin, type I cytoskeletal 16 OS=Mus musculus GN=Krt16 PE=1 SV=3"
SBP-tag	xx|SBP-tag|SBP-tag
S-tag	xx|S-tag|S-tag
Strep-tag_II	xx|Strep-tag_II|Strep-tag II
